[[0.4641379498141517, 3, 1, 0.001, 'random_normal', 50],
 [0.4641379498141517, 3, 1, 0.001, 'random_normal', 200],
 [0.4641379498141517, 3, 1, 0.001, 'random_normal', 500],
 [0.4641379498141517, 4, 1, 0.001, 'random_normal', 50],
 [0.4641379498141517, 4, 1, 0.001, 'random_normal', 200],
 [0.4641379498141517, 4, 1, 0.001, 'random_normal', 500],
 [0.4727215543180797, 4, 8, 0.1, 'glorot_normal', 50],
 [0.4780222473348129, 4, 4, 0.1, 'random_normal', 50],
 [0.47835282584720956, 4, 1, 0.01, 'random_normal', 50],
 [0.47835282584720956, 4, 1, 0.01, 'random_normal', 500],
 [0.47835282584720956, 4, 8, 0.1, 'random_normal', 500],
 [0.4794984138222119, 3, 2, 0.01, 'random_normal', 50],
 [0.47967513989679633, 4, 4, 0.1, 'glorot_normal', 500],
 [0.48280419894617876, 3, 4, 0.1, 'glorot_normal', 50],
 [0.48280419894617876, 4, 4, 0.1, 'random_normal', 200],
 [0.4841379498141517, 3, 1, 0.01, 'random_normal', 50],
 [0.48512968535134177, 3, 1, 0.01, 'random_normal', 200],
 [0.4858842430596212, 3, 1, 0.01, 'glorot_normal', 200],
 [0.48711315642572195, 4, 1, 0.1, 'random_normal', 50],
 [0.4872784456819203, 3, 1, 0.001, 'glorot_normal', 200],
 [0.4872784456819203, 3, 2, 0.001, 'random_normal', 200],
 [0.4877743134505154, 3, 1, 0.01, 'random_normal', 500],
 [0.48792816588832755, 3, 4, 0.1, 'glorot_normal', 500],
 [0.4887660489877055, 4, 8, 0.1, 'glorot_normal', 500],
 [0.4904189415496889, 3, 1, 0.1, 'glorot_normal', 50],
 [0.49058423080588726, 4, 1, 0.001, 'glorot_normal', 50],
 [0.49058423080588726, 4, 1, 0.01, 'random_normal', 200],
 [0.4912339510122946, 4, 1, 0.1, 'glorot_normal', 500],
 [0.4912339510122946, 4, 2, 0.01, 'random_normal', 200],
 [0.49141067708687897, 3, 8, 0.1, 'random_normal', 50],
 [0.49156452952469126, 4, 2, 0.01, 'random_normal', 500],
 [0.4917412555992756, 3, 2, 0.1, 'random_normal', 50],
 [0.49207183411167243, 3, 1, 0.001, 'glorot_normal', 50],
 [0.49256770188026744, 4, 1, 0.1, 'glorot_normal', 200],
 [0.4932288589050608, 3, 1, 0.001, 'glorot_normal', 500],
 [0.49339414816125915, 4, 2, 0.001, 'random_normal', 50],
 [0.49339414816125915, 4, 2, 0.001, 'random_normal', 500],
 [0.49387857911146804, 4, 1, 0.1, 'glorot_normal', 50],
 [0.49389001592985415, 3, 4, 0.1, 'glorot_normal', 200],
 [0.49389001592985426, 2, 1, 0.1, 'glorot_normal', 500],
 [0.49389001592985426, 3, 1, 0.1, 'glorot_normal', 200],
 [0.4940438683676664, 4, 4, 0.1, 'random_normal', 500],
 [0.4940553051860525, 4, 4, 0.001, 'random_normal', 500],
 [0.49422059444225086, 3, 2, 0.1, 'glorot_normal', 500],
 [0.4943744468800631, 3, 2, 0.1, 'glorot_normal', 50],
 [0.4943858836984492, 3, 2, 0.001, 'random_normal', 500],
 [0.49455117295464757, 4, 2, 0.01, 'random_normal', 50],
